trip_month,pickup_borough,dropoff_borough,trip_count,avg_trip_distance,avg_total_amount,total_revenue
2016-08-01 00:00:00,Queens,Bronx,12721,15.64,54.74,696376.3
2016-08-01 00:00:00,N/A,EWR,63,7.8,77.79,4900.91
2016-09-01 00:00:00,Queens,Brooklyn,84913,12.99,45.81,3890212.01
2016-09-01 00:00:00,EWR,EWR,264,5.69,83.56,22061.15
2016-10-01 00:00:00,Brooklyn,Manhattan,50548,5.08,23.59,1192286.85
2016-11-01 00:00:00,Bronx,Bronx,3950,2.71,14.73,58189.74
2016-11-01 00:00:00,N/A,N/A,2336,5.77,61.13,142806.96
2016-12-01 00:00:00,Brooklyn,Manhattan,39014,5.1,23.26,907534.9
2016-12-01 00:00:00,Unknown,Manhattan,18492,2.17,14.8,273753.15
2016-12-01 00:00:00,N/A,Manhattan,274,5.64,34.86,9551.12
2017-01-01 00:00:00,Manhattan,Unknown,2318,2.64,15.52,35965.33
2017-01-01 00:00:00,Queens,Unknown,355,10.98,47.52,16869.51
2017-02-01 00:00:00,Unknown,Brooklyn,765,6.0,26.99,20649.13
2017-02-01 00:00:00,Queens,Bronx,6942,15.35,53.52,371558.5
2017-03-01 00:00:00,Manhattan,Manhattan,8570689,1.84,12.43,106494309.89
2017-03-01 00:00:00,Brooklyn,Manhattan,39284,5.09,23.41,919774.89
2017-04-01 00:00:00,Queens,Queens,151470,5.41,21.67,3282986.45
2017-04-01 00:00:00,Unknown,EWR,67,13.21,97.04,6501.52
2017-05-01 00:00:00,Manhattan,N/A,8954,13.94,80.79,723387.25
2017-05-01 00:00:00,Unknown,Queens,1483,6.89,38.03,56395.61
2017-05-01 00:00:00,Manhattan,Staten Island,1322,19.12,81.03,107124.61
2017-05-01 00:00:00,EWR,EWR,257,4.37,83.73,21517.6
2017-05-01 00:00:00,Bronx,EWR,3,31.73,128.25,384.75
2017-06-01 00:00:00,Manhattan,Unknown,2428,2.78,16.44,39926.41
2017-06-01 00:00:00,Brooklyn,Unknown,54,4.16,21.1,1139.16
2017-07-01 00:00:00,N/A,Manhattan,195,7.34,41.8,8151.54
